Sample,ID,Recall,Precision,Hmean
214,X51006556826,1,1,1
215,X51006556827,1,1,1
216,X51006556829,1,1,1
217,X51006556851,1,1,1
218,X51006556865,1,1,1
219,X51006557115,1,1,1
220,X51006557169,1,1,1
221,X51006557173,1,1,1
222,X51006557187,1,1,1
223,X51006557194,1,1,1
224,X51006557196,1,1,1
225,X51006557208,1,1,1
226,X51006557209,1,1,1
227,X51006557507,1,1,1
228,X51006619328,1,1,1
229,X51006619338,1,1,1
230,X51006619346,1,1,1
231,X51006619503,1,1,1
232,X51006619506,1,1,1
233,X51006619507,0.75,1,0.857142857
234,X51006619509,1,1,1
235,X51006619564,1,1,1
236,X51006619567,1,1,1
237,X51006619569,1,1,1
238,X51006619570,1,1,1
239,X51006619700,1,1,1
240,X51006619703,1,1,1
241,X51006619704,1,1,1
242,X51006619757,1,1,1
243,X51006619760,1,1,1
244,X51006619764,1,1,1
245,X51006619766,1,1,1
246,X51006619779,1,1,1
247,X51006619784,0.75,0.75,0.75
,,0.963562753,0.977395412,0.969491035
