,precision,recall,f1-score,support
0,0.9969070486732867,0.9946402468734773,0.9957723577235772,6157.0
1,0.9540229885057471,0.9540229885057471,0.9540229885057472,87.0
2,0.9690265486725663,0.9647577092511013,0.9668874172185431,227.0
3,0.9680851063829787,0.978494623655914,0.9732620320855615,93.0
4,0.8899082568807339,0.9509803921568627,0.9194312796208531,204.0
accuracy,0.9915780141843972,0.9915780141843972,0.9915780141843972,0.9915780141843972
macro avg,0.9555899898230626,0.9685791920886204,0.9618752150308565,6768.0
weighted avg,0.9917994864845427,0.9915780141843972,0.9916565012173886,6768.0
